City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,coquimbo,-29.9533,-71.3436,14.85,82,0,4.63,CL,1722710516
352,alvaraes,-3.2208,-64.8042,31.93,55,100,1.32,BR,1722710684
353,hell-ville,-13.4,48.2667,24.33,72,16,1.76,MG,1722710685
354,scone,56.4194,-3.4051,17.76,71,43,4.35,GB,1722710685
355,tynda,55.1667,124.7167,9.69,92,82,0.92,RU,1722710686
356,rio hato,8.3833,-80.1667,27.48,74,100,1.64,PA,1722710686
357,roma,43.2128,-75.4557,29.27,68,0,4.63,US,1722710446
358,rokytne,51.2796,27.214,14.89,98,100,2.17,UA,1722710688
359,hithadhoo,-0.6,73.0833,28.24,78,100,3.76,MV,1722710688
360,labytnangi,66.6572,66.4183,16.77,71,100,10.19,RU,1722710688
361,thames,-37.1333,175.5333,9.23,86,97,3.08,NZ,1722710689
362,thomaston,32.8882,-84.3266,32.83,65,99,0.89,US,1722710689
363,nova xavantina,-14.6667,-52.35,34.28,19,0,2.11,BR,1722710690
364,east london,-33.0153,27.9116,17.52,59,0,3.09,ZA,1722710548
365,kirensk,57.7853,108.1119,14.62,70,58,1.33,RU,1722710691
366,pandan,14.0453,124.1694,26.44,87,99,2.04,PH,1722710590
